id,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
0,706688,AARON'S INC,2480,NYSE,AAN,7359,"Equipment Rental and Leasing, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=706688&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/706688/000070668814000029/0000706688-14-000029-index.htm,http://www.sec.gov/Archives/edgar/data/706688/000070668815000148/0000706688-15-000148-index.htm,,2016-04-30
1,824142,AAON INC,938,Nasdaq Global Market,AAON,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=824142&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/824142/000082414214000080/0000824142-14-000080-index.htm,http://www.sec.gov/Archives/edgar/data/824142/000082414215000071/0000824142-15-000071-index.htm,,2016-04-30
2,881890,ABAXIS INC,11929,Nasdaq Global Market,ABAX,3829,"Measuring and Controlling Devices, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=881890&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/881890/000114036114023999/0001140361-14-023999-index.htm,http://www.sec.gov/Archives/edgar/data/881890/000114036115022629/0001140361-15-022629-index.htm,,2016-04-30
3,1551152,ABBVIE INC.,883230,NYSE,ABBV,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1551152&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1551152/000110465914043142/0001104659-14-043142-index.htm,http://www.sec.gov/Archives/edgar/data/1551152/000110465915042242/0001104659-15-042242-index.htm,,2016-04-30
4,1800,ABBOTT LABORATORIES,5054,NYSE,ABT,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1800&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1800/000110465914042874/0001104659-14-042874-index.htm,http://www.sec.gov/Archives/edgar/data/1800/000110465915041939/0001104659-15-041939-index.htm,,2016-04-30
5,1750,AAR CORP,8804,NYSE,AIR,3720,Aircraft And Parts,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1750&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1750/000110465914043160/0001104659-14-043160-index.htm,http://www.sec.gov/Archives/edgar/data/1750/000110465915042298/0001104659-15-042298-index.htm,,2016-04-30
6,1580808,"A10 NETWORKS, INC.",910463,NYSE,ATEN,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1580808&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/1580808/000119312515204410/0001193125-15-204410-index.htm,,2016-04-30
7,910638,3D SYSTEMS CORP,5580,NYSE,DDD,7372,Prepackaged Software,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=910638&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/910638/000091063814000010/0000910638-14-000010-index.htm,http://www.sec.gov/Archives/edgar/data/910638/000091063815000008/0000910638-15-000008-index.htm,,2016-04-30
8,66740,3M CO,5248,NYSE,MMM,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=66740&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/66740/000110465914043157/0001104659-14-043157-index.htm,http://www.sec.gov/Archives/edgar/data/66740/000110465915042396/0001104659-15-042396-index.htm,,2016-04-30
9,815094,ABIOMED INC,4093,Nasdaq Global Market,ABMD,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=815094&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/815094/000119312514221767/0001193125-14-221767-index.htm,http://www.sec.gov/Archives/edgar/data/815094/000119312515208997/0001193125-15-208997-index.htm,,2016-04-30
10,712034,ACCO BRANDS CORP,582568,NYSE,ACCO,2780,"Blankbooks, Looseleaf Binders, And Bookbinding",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=712034&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030-index.htm,http://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029-index.htm,,2016-04-30
11,880984,"ACORN ENERGY, INC.",3582,OTC,ACFN,8711,Engineering Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=880984&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/880984/000114420414034813/0001144204-14-034813-index.htm,http://www.sec.gov/Archives/edgar/data/880984/000149315215002288/0001493152-15-002288-index.htm,,2016-04-30
